station number, station name, station latitude, station longitude
101,Kifissia,38.07385643019323,23.808318614589922
102,KAT,38.0659336486569,23.804010383001437
103,Maroussi,38.05659093938642,23.805099963644096
104,Nerantziotissa,38.04480183493548,23.79288259327658
105,Irini,38.0437671018159,23.782684585819393
106,Iraklio,38.04650076083769,23.76594969974314
107,Nea Ionia,38.04171917039145,23.75520649167225
108,Pefkakia,38.03721224557235,23.75018240932879
109,Perissos,38.03284461477259,23.74480393111615
110,Ano Patissia,38.023747284475206,23.73593361136169
111,Aguios Eleftherios,38.02009325536962,23.731837212275494
112,Kato Patissia,38.01172647396838,23.728782497037674
113,Aghnos Nikolaos,38.00708306424697,23.727713337189968
114,Attiki,37.999452425129576,23.72326099162105
115,Victoria,37.99306005735071,23.730384744410507
116,Omonia,37.98414489917227,23.728701201319836
117,Monastiraki,37.97611704022396,23.725654127271522
118,Tihissio,37.97666541917069,23.720700892863686
119,Petralona,37.968581898373486,23.709250016710154
120,Tavros,37.962450113301585,23.703378485980778
121,Kallithea,37.96034390796487,23.69731216518474
122,Moschato,37.955012305727024,23.679641918709134
123,Faliro,37.94494044568158,23.665227450050075
124,Piraeus,37.948067478108996,23.64320225319989
201,Aghios Antonios,38.00667455022093,23.699472488771793
202,Sepolia,38.002720255839336,23.713516903092273
203,Attiki,38.00037162103943,23.721918201256614
204,Larissa Station,37.99215535853332,23.72087559565062
205,Metaxourgeio,37.98757114895516,23.721204839526195
206,Omonia,37.98454829460307,23.728555935841044
207,Panepistimio,37.98096405786368,23.732964122793707
208,Syntagma,37.97518502170901,23.735469828985803
209,Akropoli,37.968991751292855,23.729614459597105
210,Syngrou-Fix,37.964422115900796,23.726537327130277
211,Neos Kosmos,37.957785365962614,23.728451463613457
212,Aghios Ioannis,37.95677318816276,23.73463724681745
213,Dafni,37.9493416275026,23.737255861724822
214,Aghios Dimitrios,37.940685887537796,23.7406894075894
301,Egaleo,37.992166443989625,23.681972846777327
302,Eleonas,37.98796601720846,23.694188982530385
303,Kerameikos,37.978748311385814,23.71145266522074
304,Monastiraki,37.97716950270181,23.724541079859396
305,Syntagma,37.9758840169342,23.735334289525667
306,Evangelismos,37.976611334033976,23.747307669957003
307,Megaro Moussikis,37.97960509842984,23.752951038176672
308,Ambelokipi,37.987452578861216,23.75702799592749
309,Panormou,37.993422190367646,23.763379466621775
310,Katehaki,37.99324518845619,23.776106736324994
311,Ethniki Amyna,38.00026156652406,23.785879968077538
312,Holargos,38.00462076606339,23.79479927093233
313,Nomismatokopio,38.0095219216595,23.80574471536028
314,Aghia Paraskevi,38.017543594966604,23.812353777975726
315,Halandri,38.02188578869339,23.821259425868547
316,Doukissis Plakentias,38.02490104959176,23.834400998070933
317,Pallini,38.006179152910896,23.869534708049365
318,Paiania-Kantza,37.983899644112654,23.869916555059998
319,Koropi,37.91315512898767,23.89587290080042
320,Airport,37.937029981817396,23.94482145571541
